,Titulos,Links
0,Santos empata com o Grêmio confronto pelo Brasileirão; siga lances,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/24-06-2021/gremio-santos.ghtml
1,"Everson falha, e Ceará derrota o Atlético-MG com gol no último lance",https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/24-06-2021/ceara-atletico-mg.ghtml
2,Corinthians controla jogo e supera Sport com gol de Jô e outro contra,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/24-06-2021/corinthians-sport.ghtml
3,"Na estreia de Aguirre, Inter vence Chapecoense fora e encerra tabus",https://ge.globo.com/sc/futebol/brasileirao-serie-a/jogo/24-06-2021/chapecoense-internacional.ghtml
4,Covaxin: recibo dito falso está no sistema da Saúde,https://oglobo.globo.com/brasil/documento-sobre-covaxin-que-palacio-do-planalto-diz-que-nao-existe-esta-em-sistema-do-ministerio-da-saude-25075336?utm_source=globo.com&utm_medium=oglobo
5,E-mails indicam que documento é verdadeiro ,https://g1.globo.com/politica/cpi-da-covid/noticia/2021/06/24/covaxin-e-mails-da-saude-indicam-que-e-autentica-fatura-de-compra-apontada-como-falsa-pelo-governo.ghtml
6,"Brasil encosta em 510 mil mortes, com 2.042 em 24h",https://g1.globo.com/bemestar/coronavirus/noticia/2021/06/24/brasil-se-aproxima-de-510-mil-mortes-por-covid-com-2042-registradas-nas-ultimas-24-horas.ghtml
7,Defesa confirma ida de Carlos Wizard à CPI,https://g1.globo.com/sp/campinas-regiao/noticia/2021/06/24/defesa-confirma-presenca-de-wizard-na-cpi-da-covid-data-de-chegada-ao-brasil-e-incerta.ghtml
8,"
Suspeição de Moro é para todos processos de Lula
",https://oglobo.globo.com/brasil/lula/gilmar-amplia-suspeicao-de-moro-para-todos-os-processos-em-que-ex-juiz-atuou-contra-lula-25075733?utm_source=globo.com&utm_medium=oglobo
9,Silveira é preso de novo por violar tornozeleira,https://g1.globo.com/rj/rio-de-janeiro/noticia/2021/06/24/daniel-silveira-e-preso-de-novo.ghtml
